Label,Regime,Primary,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi,Recall,Recall_lo,Recall_hi,Precision,F2,F2_lo,F2_hi,Delta_AUROC_vs_M3,Delta_CI_lo,Delta_CI_hi,Paired_p,Significant
Fusion A: Simple Average,Uncalibrated,False,0.7001,0.5658,0.8246,0.3057,0.1724,0.5006,1.0,1.0,1.0,0.1667,0.5,0.4813,0.5233,-0.0036,-0.1657,0.1729,0.947,False
Fusion A: Simple Average,Platt,False,0.66,0.5092,0.7968,0.2442,0.155,0.4373,1.0,1.0,1.0,0.1565,0.4813,0.4688,0.5,0.0159,-0.1245,0.1533,0.817,False
Fusion A: Simple Average,Isotonic,False,0.7245,0.5985,0.8354,0.2726,0.1785,0.4776,0.8889,0.7222,1.0,0.2105,0.5405,0.4422,0.6164,0.0301,-0.1286,0.1911,0.715,False
Fusion B: F2-Weighted [PRIMARY],Uncalibrated,True,0.7094,0.5761,0.8318,0.3104,0.1783,0.5004,1.0,1.0,1.0,0.1636,0.4945,0.4762,0.5172,0.0057,-0.1517,0.1765,0.949,False
Fusion B: F2-Weighted [PRIMARY],Platt,True,0.6631,0.5128,0.8009,0.2452,0.1562,0.4386,0.9444,0.8333,1.0,0.1635,0.483,0.4213,0.5263,0.019,-0.1163,0.1517,0.779,False
Fusion B: F2-Weighted [PRIMARY],Isotonic,True,0.731,0.608,0.8349,0.2744,0.1842,0.4791,0.9444,0.8333,1.0,0.2125,0.5592,0.4808,0.6207,0.0365,-0.1137,0.1914,0.636,False
Fusion C: Stacking Meta-Learner,Uncalibrated,False,0.6548,0.501,0.7989,0.2581,0.1572,0.466,1.0,1.0,1.0,0.1552,0.4787,0.4663,0.4945,-0.0489,-0.1898,0.0916,0.511,False
Fusion C: Stacking Meta-Learner,Platt,False,0.642,0.4912,0.786,0.2461,0.1514,0.4617,1.0,1.0,1.0,0.1651,0.4972,0.4787,0.5202,-0.0021,-0.1008,0.089,0.989,False
Fusion C: Stacking Meta-Learner,Isotonic,False,0.6888,0.5581,0.8092,0.2539,0.1649,0.4484,0.9444,0.8333,1.0,0.191,0.528,0.4545,0.5844,-0.0057,-0.1281,0.1067,0.948,False
Fusion D: Cascade Max,Uncalibrated,False,0.6515,0.5082,0.7855,0.351,0.1731,0.5635,0.9444,0.8333,1.0,0.1717,0.4971,0.431,0.5455,-0.0522,-0.2135,0.1222,0.543,False
Fusion D: Cascade Max,Platt,False,0.6173,0.467,0.7659,0.2584,0.1438,0.4387,1.0,1.0,1.0,0.1565,0.4813,0.4663,0.5,-0.0267,-0.1734,0.1145,0.73,False
Fusion D: Cascade Max,Isotonic,False,0.6777,0.5489,0.8048,0.2591,0.156,0.4362,0.9444,0.8333,1.0,0.1828,0.5152,0.4491,0.566,-0.0167,-0.1752,0.1495,0.841,False
Fusion E: Bayesian Evidence (BEF),Uncalibrated,False,0.7438,0.628,0.8503,0.3283,0.1918,0.5225,0.8333,0.6667,1.0,0.2542,0.5725,0.4545,0.6767,0.0401,-0.1044,0.196,0.585,False
Fusion E: Bayesian Evidence (BEF),Platt,False,0.6595,0.5072,0.7989,0.2413,0.1543,0.4265,1.0,1.0,1.0,0.1565,0.4813,0.4663,0.5,0.0154,-0.1214,0.143,0.81,False
Fusion E: Bayesian Evidence (BEF),Isotonic,False,0.7197,0.5964,0.8231,0.2641,0.1742,0.4648,0.8333,0.6667,1.0,0.2381,0.5556,0.4365,0.6538,0.0252,-0.1296,0.1795,0.766,False
Fusion F: Dempster-Shafer (DST),Uncalibrated,False,0.7449,0.6286,0.8519,0.3329,0.1923,0.5286,0.9444,0.8333,1.0,0.25,0.6071,0.5282,0.6746,0.0412,-0.0725,0.1734,0.5,False
Fusion F: Dempster-Shafer (DST),Platt,False,0.6831,0.5478,0.8092,0.2523,0.16,0.4482,0.9444,0.8333,1.0,0.1848,0.5183,0.4516,0.5696,0.0391,-0.0633,0.1446,0.442,False
Fusion F: Dempster-Shafer (DST),Isotonic,False,0.7392,0.627,0.8436,0.2826,0.1863,0.4931,1.0,1.0,1.0,0.1957,0.5488,0.5202,0.5844,0.0448,-0.0623,0.1559,0.415,False
Fusion G: Optimal Transport (OT),Uncalibrated,False,0.7505,0.6337,0.8534,0.3328,0.1959,0.5281,0.8333,0.6667,1.0,0.2679,0.5859,0.4615,0.6923,0.0468,-0.089,0.1929,0.495,False
Fusion G: Optimal Transport (OT),Platt,False,0.6636,0.5128,0.7999,0.2431,0.1563,0.4287,0.9444,0.8333,1.0,0.1683,0.4913,0.4286,0.5389,0.0195,-0.1075,0.141,0.756,False
Fusion G: Optimal Transport (OT),Isotonic,False,0.7197,0.5967,0.8241,0.2671,0.1735,0.4706,0.8889,0.7222,1.0,0.2286,0.5634,0.4636,0.6475,0.0252,-0.1268,0.1752,0.749,False
M1 Clinical (SEER→TCGA),OOF,False,0.5592,0.4205,0.6965,0.1634,0.1177,0.313,0.9444,,,,0.4971,0.4294,0.5455,,,,,
M2 Genomic (126-pt OOF),OOF,False,0.6672,0.5334,0.7978,0.2265,0.151,0.4274,1.0,,,,0.4918,0.4737,0.5114,,,,,
M3 Imaging (126-pt OOF),OOF,False,0.7037,0.5622,0.8277,0.3701,0.1894,0.5742,0.8889,,,,0.5298,0.4333,0.6081,,,,,
M2 Genomic (418-pt OOF),OOF,False,0.7701,0.7029,0.8361,0.3205,0.2441,0.4507,0.8333,,,,0.5422,0.4796,0.6039,,,,,
